date,exercise,set_number,weight_kg,reps
2026-03-04,lateral_raise,4,6,10
2026-03-04,face_pull,1,21.25,12
2026-03-04,face_pull,2,21.25,12
2026-03-04,face_pull,3,21.25,12
2026-03-04,leg_raise,1,0,5
2026-03-04,leg_raise,2,0,5
2026-03-04,leg_raise,3,0,5
2026-03-04,leg_raise,4,0,5
2026-03-05,bench_press,1,87.5,5
2026-03-05,bench_press,2,87.5,4
2026-03-05,bench_press,3,87.5,4
2026-03-05,bench_press,4,87.5,4
2026-03-05,bench_press,5,87.5,3
2026-03-05,incline_dumbbell,1,24,10
2026-03-05,incline_dumbbell,2,24,10
2026-03-05,incline_dumbbell,3,24,10
2026-03-05,chest_press_machine,1,40,10
2026-03-05,chest_press_machine,2,40,10
2026-03-05,chest_press_machine,3,40,8
2026-03-05,lateral_raise,1,5,10
2026-03-05,lateral_raise,2,5,10
2026-03-05,tricep_dip,1,0,7
2026-03-05,tricep_dip,2,0,7
2026-03-05,tricep_dip,3,0,7
2026-03-06,supported_row,1,115,5
2026-03-06,supported_row,2,115,5
2026-03-06,supported_row,3,115,5
2026-03-06,supported_row,4,115,5
2026-03-06,supported_row,5,115,5
2026-03-06,pull_up,1,15,5
2026-03-06,pull_up,2,15,5
2026-03-06,pull_up,3,15,5
2026-03-06,pull_up,4,15,3
2026-03-06,pull_up,5,0,7
2026-03-06,hamstring_curl,1,37.5,10
2026-03-06,hamstring_curl,2,37.5,10
2026-03-06,hamstring_curl,3,37.5,10
2026-03-06,lat_pulldown,1,54,12
2026-03-06,lat_pulldown,2,54,12
2026-03-06,lat_pulldown,3,54,12
2026-03-06,ez_bar_curl,1,10,11
2026-03-06,ez_bar_curl,2,10,11
2026-03-06,ez_bar_curl,3,10,10
2026-03-06,ez_bar_curl,4,10,6
2026-03-09,bench_press,1,87.5,5
2026-03-09,bench_press,2,87.5,5
2026-03-09,bench_press,3,87.5,5
2026-03-09,bench_press,4,87.5,5
2026-03-09,bench_press,5,87.5,5
2026-03-09,incline_dumbbell,1,24,10
2026-03-09,incline_dumbbell,2,24,10
2026-03-09,incline_dumbbell,3,24,8
2026-03-09,incline_dumbbell,4,24,8
2026-03-09,lateral_raise,1,5,10
2026-03-09,lateral_raise,2,5,10
2026-03-09,lateral_raise,3,5,10
2026-03-09,lateral_raise,4,5,10
2026-03-09,tricep_dip,1,0,7
2026-03-09,tricep_dip,2,0,7
2026-03-09,tricep_dip,3,0,7
2026-03-10,supported_row,1,120,5
2026-03-10,supported_row,2,120,5
2026-03-10,supported_row,3,120,5
2026-03-10,supported_row,4,120,5
2026-03-10,pull_up,1,15,5
2026-03-10,pull_up,2,15,4
2026-03-10,pull_up,3,15,3
2026-03-10,pull_up,4,0,6
2026-03-10,pull_up,5,0,7
2026-03-10,hamstring_curl,1,37.5,10
2026-03-10,hamstring_curl,2,37.5,10
2026-03-10,hamstring_curl,3,37.5,10
2026-03-10,lat_pulldown,1,54,12
2026-03-10,lat_pulldown,2,54,12
2026-03-10,lat_pulldown,3,54,12
2026-03-10,ez_bar_curl,1,10,11
2026-03-10,ez_bar_curl,2,10,11
2026-03-10,ez_bar_curl,3,10,10
2026-03-10,ez_bar_curl,4,10,6
2026-03-12,bench_press,1,90,5
2026-03-12,bench_press,2,90,5
2026-03-12,bench_press,3,90,5
2026-03-12,bench_press,4,90,4
2026-03-12,bench_press,5,90,3
2026-03-12,incline_dumbbell,1,24,10
2026-03-12,incline_dumbbell,2,24,10
2026-03-12,incline_dumbbell,3,24,10
2026-03-12,incline_dumbbell,4,24,9
2026-03-12,lateral_raise,1,6,10
2026-03-12,lateral_raise,2,6,10
2026-03-12,lateral_raise,3,6,10
2026-03-12,lateral_raise,4,6,10
2026-03-12,tricep_dip,1,0,8
2026-03-12,tricep_dip,2,0,8
2026-03-12,tricep_dip,3,0,8
2026-03-13,supported_row,1,125,5
2026-03-13,supported_row,2,125,5
2026-03-13,supported_row,3,125,4
2026-03-13,supported_row,4,125,4
2026-03-13,supported_row,5,125,4
2026-03-13,pull_up,1,15,4
2026-03-13,pull_up,2,15,4
2026-03-13,pull_up,3,15,3
2026-03-13,pull_up,4,0,5
2026-03-13,lat_pulldown,1,54,12
2026-03-13,lat_pulldown,2,54,12
2026-03-13,lat_pulldown,3,54,9
2026-03-13,ez_bar_curl,1,12.5,8
2026-03-13,ez_bar_curl,2,12.5,8
2026-03-13,ez_bar_curl,3,12.5,8
2026-03-16,bench_press,1,90,5
2026-03-16,bench_press,2,90,5
2026-03-16,bench_press,3,90,5
2026-03-16,bench_press,4,90,5
2026-03-16,bench_press,5,90,5
2026-03-16,incline_dumbbell,1,24,10
2026-03-16,incline_dumbbell,2,24,10
2026-03-16,incline_dumbbell,3,24,10
2026-03-16,incline_dumbbell,4,24,10
2026-03-16,lateral_raise,1,6,10
2026-03-16,lateral_raise,2,6,10
2026-03-16,lateral_raise,3,6,10
2026-03-16,lateral_raise,4,6,10
2026-03-16,tricep_dip,1,0,8
2026-03-16,tricep_dip,2,0,8
2026-03-16,tricep_dip,3,0,8
2026-03-17,supported_row,1,125,5
2026-03-17,supported_row,2,125,5
2026-03-17,supported_row,3,125,5
2026-03-17,supported_row,4,125,5
2026-03-17,supported_row,5,125,4
2026-03-17,pull_up,1,15,5
2026-03-17,pull_up,2,15,5
2026-03-17,pull_up,3,15,5
2026-03-17,pull_up,4,15,4
2026-03-17,pull_up,5,0,8
2026-03-17,lat_pulldown,1,54,12
2026-03-17,lat_pulldown,2,54,12
2026-03-17,ez_bar_curl,1,12.5,8
2026-03-17,ez_bar_curl,2,12.5,8
2026-03-17,ez_bar_curl,3,12.5,8
2026-03-19,bench_press,1,92.5,5
2026-03-19,bench_press,2,92.5,5
2026-03-19,bench_press,3,92.5,3
2026-03-19,bench_press,4,80,8
2026-03-19,bench_press,5,80,7
2026-03-19,incline_dumbbell,1,26,10
2026-03-19,incline_dumbbell,2,26,8
2026-03-19,incline_dumbbell,3,26,9
2026-03-19,incline_dumbbell,4,26,7
2026-03-19,lateral_raise,1,6,10
2026-03-19,lateral_raise,2,6,10
2026-03-19,lateral_raise,3,6,10
2026-03-19,lateral_raise,4,6,10
2026-03-19,tricep_dip,1,0,8
2026-03-19,tricep_dip,2,0,8
2026-03-19,tricep_dip,3,0,8
2026-03-20,supported_row,1,120,5
2026-03-20,supported_row,2,120,5
2026-03-20,supported_row,3,120,4
2026-03-20,supported_row,4,90,5
2026-03-20,supported_row,5,90,5
2026-03-20,pull_up,1,0,10
2026-03-20,pull_up,2,0,8
2026-03-20,pull_up,3,0,6
2026-03-20,pull_up,4,0,5
2026-03-20,lat_pulldown,1,21,12
2026-03-20,lat_pulldown,2,21,12
2026-03-20,ez_bar_curl,1,12.5,10
2026-03-20,ez_bar_curl,2,12.5,10
2026-03-20,ez_bar_curl,3,12.5,10
2026-03-23,bench_press,1,92.5,5
2026-03-23,bench_press,2,92.5,5
2026-03-23,bench_press,3,92.5,5
2026-03-23,bench_press,4,92.5,5
2026-03-23,bench_press,5,92.5,5
2026-03-23,incline_dumbbell,1,26,10
2026-03-23,incline_dumbbell,2,26,10
2026-03-23,incline_dumbbell,3,26,5
2026-03-23,incline_dumbbell,4,20,10
2026-03-23,lateral_raise,1,8,10
2026-03-23,lateral_raise,2,8,10
2026-03-23,lateral_raise,3,8,6
2026-03-23,lateral_raise,4,8,5
2026-03-23,tricep_dip,1,6,8
2026-03-23,tricep_dip,2,6,8
2026-03-24,supported_row,1,90,5
2026-03-24,supported_row,2,90,5
2026-03-24,supported_row,3,90,5
2026-03-24,supported_row,4,90,5
2026-03-24,supported_row,5,90,4
2026-03-24,pull_up,1,0,6
2026-03-24,pull_up,2,0,5
2026-03-24,pull_up,3,0,5
2026-03-24,lat_pulldown,1,21,12
2026-03-24,lat_pulldown,2,21,12
2026-03-24,lat_pulldown,3,21,12
2026-03-24,bicep_curl,1,14,10
2026-03-24,bicep_curl,2,14,9
2026-03-24,bicep_curl,3,14,6
2026-03-25,overhead_press,1,52.5,5
2026-03-25,overhead_press,2,52.5,5
2026-03-25,overhead_press,3,52.5,5
2026-03-25,overhead_press,4,52.5,5
2026-03-25,overhead_press,5,52.5,5
2026-03-25,seated_db_ohp,1,16,10
2026-03-25,seated_db_ohp,2,16,10
2026-03-25,seated_db_ohp,3,16,8
2026-03-25,seated_db_ohp,4,16,7
2026-03-25,face_pull,1,25,12
2026-03-25,face_pull,2,25,12
2026-03-25,face_pull,3,25,12
2026-03-25,leg_raise,1,0,5
2026-03-25,leg_raise,2,0,5
2026-03-25,leg_raise,3,0,5
2026-03-25,leg_raise,4,0,5
2026-03-25,leg_raise,5,0,5
2026-03-27,bench_press,1,95,5
2026-03-27,bench_press,2,95,5
2026-03-27,bench_press,3,95,4
2026-03-27,bench_press,4,95,3
2026-03-27,bench_press,5,80,10
2026-03-27,incline_dumbbell,1,26,10
2026-03-27,incline_dumbbell,2,26,10
2026-03-27,incline_dumbbell,3,26,6
2026-03-27,incline_dumbbell,4,26,6
2026-03-27,lateral_raise,1,8,10
2026-03-27,lateral_raise,2,8,10
2026-03-27,lateral_raise,3,8,8
2026-03-27,lateral_raise,4,8,6
2026-03-27,tricep_dip,1,8,8
2026-03-27,tricep_dip,2,8,8
2026-03-27,tricep_dip,3,8,5
2026-03-28,supported_row,1,25,5
2026-03-28,supported_row,2,25,5
2026-03-28,supported_row,3,25,5
2026-03-28,supported_row,4,25,5
2026-03-28,supported_row,5,25,5
2026-03-28,pull_up,1,0,7
2026-03-28,pull_up,2,0,6
2026-03-28,pull_up,3,0,6
2026-03-28,lat_pulldown,1,39,12
2026-03-28,bicep_curl,1,14,10
2026-03-28,bicep_curl,2,14,9
2026-03-28,bicep_curl,3,14,6
2026-03-30,bench_press,1,95,5
2026-03-30,bench_press,2,95,5
2026-03-30,bench_press,3,95,5
2026-03-30,bench_press,4,95,5
2026-03-30,bench_press,5,95,3
2026-03-30,incline_dumbbell,1,26,10
2026-03-30,incline_dumbbell,2,26,10
2026-03-30,incline_dumbbell,3,26,9
2026-03-30,incline_dumbbell,4,26,6
2026-03-30,lateral_raise,1,7,10
2026-03-30,lateral_raise,2,7,10
2026-03-30,lateral_raise,3,7,10
2026-03-30,lateral_raise,4,7,7
2026-03-30,tricep_dip,1,10,8
2026-03-30,tricep_dip,2,10,8
2026-03-30,tricep_dip,3,10,7
2026-03-31,barbell_row,1,60,5
2026-03-31,barbell_row,2,70,5
2026-03-31,barbell_row,3,80,5
2026-03-31,barbell_row,4,80,5
2026-03-31,machine_row,1,70,10
2026-03-31,machine_row,2,70,10
2026-03-31,machine_row,3,70,10
2026-03-31,machine_row,4,70,8
2026-03-31,lat_pulldown,1,30,12
2026-03-31,lat_pulldown,2,30,12
2026-03-31,lat_pulldown,3,30,12
2026-03-31,bicep_curl,1,10,12
2026-03-31,bicep_curl,2,10,12
2026-03-31,bicep_curl,3,10,8
2026-04-01,deadlift,1,100,5
2026-04-01,deadlift,2,100,5
2026-04-01,deadlift,3,100,5
2026-04-01,deadlift,4,100,5
2026-04-01,deadlift,5,100,5
2026-04-01,overhead_press,1,55,5
2026-04-01,overhead_press,2,55,5
2026-04-01,overhead_press,3,55,5
2026-04-01,overhead_press,4,55,5
2026-04-01,overhead_press,5,55,5
2026-04-01,knee_tuck,1,0,5
2026-04-01,knee_tuck,2,0,5
2026-04-01,knee_tuck,3,0,5
2026-04-01,knee_tuck,4,0,5
2026-04-01,knee_tuck,5,0,5
2026-04-01,rdl,1,20,10
2026-04-01,rdl,2,20,10
2026-04-01,rdl,3,20,10
2026-04-01,rdl,4,20,10
2026-04-02,bench_press,1,95,5
2026-04-02,bench_press,2,95,5
2026-04-02,bench_press,3,95,5
2026-04-02,bench_press,4,95,5
2026-04-02,bench_press,5,95,5
2026-04-02,incline_dumbbell,1,26,10
2026-04-02,incline_dumbbell,2,26,10
2026-04-02,incline_dumbbell,3,26,10
2026-04-02,incline_dumbbell,4,26,10
2026-04-02,lateral_raise,1,7,10
2026-04-02,lateral_raise,2,7,10
2026-04-02,lateral_raise,3,7,10
2026-04-02,lateral_raise,4,7,10
2026-04-02,tricep_dip,1,10,8
2026-04-02,tricep_dip,2,10,8
2026-04-03,barbell_row,1,80,5
2026-04-03,barbell_row,2,80,5
2026-04-03,barbell_row,3,80,5
2026-04-03,barbell_row,4,80,5
2026-04-03,barbell_row,5,80,5
2026-04-03,machine_row,1,70,10
2026-04-03,machine_row,2,70,10
2026-04-03,machine_row,3,70,10
2026-04-03,machine_row,4,70,10
2026-04-03,lat_pulldown,1,35,12
2026-04-03,lat_pulldown,2,35,12
2026-04-03,lat_pulldown,3,35,12
2026-04-03,bicep_curl,1,10,12
2026-04-03,bicep_curl,2,10,12
2026-04-03,bicep_curl,3,10,12
2026-04-03,knee_tuck,1,0,5
2026-04-03,knee_tuck,2,0,5
2026-04-03,knee_tuck,3,0,5
2026-04-03,knee_tuck,4,0,5
2026-04-03,knee_tuck,5,0,5
2026-04-09,bench_press,1,97.5,5
2026-04-09,bench_press,2,97.5,5
2026-04-09,bench_press,3,97.5,4
2026-04-09,bench_press,4,97.5,3
2026-04-09,bench_press,5,80,10
2026-04-09,incline_dumbbell,1,28,7
2026-04-09,incline_dumbbell,2,28,7
2026-04-09,incline_dumbbell,3,28,5
2026-04-09,incline_dumbbell,4,24,10
2026-04-09,lateral_raise,1,8,10
2026-04-09,lateral_raise,2,8,10
2026-04-09,lateral_raise,3,8,7
2026-04-09,tricep_dip,1,12,8
2026-04-09,tricep_dip,2,12,8
2026-04-09,tricep_dip,3,12,7
2026-04-13,bench_press,1,97.5,5
2026-04-13,bench_press,2,97.5,5
2026-04-13,bench_press,3,97.5,5
2026-04-13,bench_press,4,97.5,4
2026-04-13,bench_press,5,97.5,3
2026-04-13,incline_dumbbell,1,28,10
2026-04-13,incline_dumbbell,2,28,10
2026-04-13,incline_dumbbell,3,28,6
2026-04-13,lateral_raise,1,8,10
2026-04-13,lateral_raise,2,8,10
2026-04-13,lateral_raise,3,8,6
2026-04-13,lateral_raise,4,6,10
2026-04-14,barbell_row,1,80,5
2026-04-14,barbell_row,2,80,5
2026-04-14,barbell_row,3,80,5
2026-04-14,barbell_row,4,80,5
2026-04-14,barbell_row,5,80,5
2026-04-14,machine_row,1,45,10
2026-04-14,machine_row,2,45,10
2026-04-14,machine_row,3,45,10
2026-04-14,machine_row,4,45,10
2026-04-14,lat_pulldown,1,39,12
2026-04-14,lat_pulldown,2,39,12
2026-04-14,lat_pulldown,3,39,10
2026-04-14,bicep_curl,1,10,12
2026-04-14,bicep_curl,2,10,10
2026-04-14,bicep_curl,3,10,10
2026-04-15,deadlift,1,110,5
2026-04-15,deadlift,2,110,5
2026-04-15,deadlift,3,110,5
2026-04-15,deadlift,4,110,5
2026-04-15,deadlift,5,110,5
2026-04-15,knee_tuck,1,0,5
2026-04-15,knee_tuck,2,0,5
2026-04-15,knee_tuck,3,0,5
2026-04-15,knee_tuck,4,0,5
2026-04-15,knee_tuck,5,0,5
2026-04-15,rdl,1,25,10
2026-04-15,rdl,2,25,10
2026-04-15,rdl,3,25,10
2026-04-15,rdl,4,25,7
2026-04-16,bench_press,1,97.5,4
2026-04-16,bench_press,2,97.5,3
2026-04-16,bench_press,3,70,10
2026-04-16,bench_press,4,70,7
2026-04-16,incline_dumbbell,1,28,10
2026-04-16,incline_dumbbell,2,28,10
2026-04-16,incline_dumbbell,3,28,6
2026-04-16,lateral_raise,1,8,10
2026-04-16,lateral_raise,2,8,10
2026-04-16,lateral_raise,3,8,6
2026-04-16,lateral_raise,4,6,10
2026-04-21,barbell_row,1,82.5,5
2026-04-21,barbell_row,2,82.5,5
2026-04-21,barbell_row,3,82.5,5
2026-04-21,barbell_row,4,82.5,5
2026-04-21,barbell_row,5,82.5,5
2026-04-21,pull_up,1,0,8
2026-04-21,machine_row,1,45,10
2026-04-21,machine_row,2,45,10
2026-04-21,machine_row,3,45,10
2026-04-21,machine_row,4,45,10
2026-04-21,lat_pulldown,1,39,12
2026-04-21,lat_pulldown,2,39,12
2026-04-21,lat_pulldown,3,39,10
2026-04-21,bicep_curl,1,10,12
2026-04-21,bicep_curl,2,10,10
2026-04-21,bicep_curl,3,10,10
2026-04-26,bench_press,1,97.5,3
2026-04-26,bench_press,2,97.5,3
2026-04-26,bench_press,3,97.5,3
2026-04-26,bench_press,4,97.5,2
2026-04-26,bench_press,5,80,7
2026-04-26,incline_dumbbell,1,28,10
2026-04-26,incline_dumbbell,2,28,10
2026-04-26,incline_dumbbell,3,28,5
2026-04-26,incline_dumbbell,4,24,9
2026-04-26,lateral_raise,1,8,10
2026-04-26,lateral_raise,2,8,10
2026-04-26,lateral_raise,3,8,8
2026-04-27,pull_up,1,0,10
2026-04-27,pull_up,2,0,10
2026-04-27,pull_up,3,0,8
2026-04-27,pull_up,4,0,7
2026-04-27,reverse_grip_row,1,60,10
2026-04-27,reverse_grip_row,2,60,10
2026-04-27,reverse_grip_row,3,60,10
2026-04-27,reverse_grip_row,4,60,10
